Key,Category,Original_ZH,Original_EN,Current_ZH,Current_EN
order.payment_summary,order,付款汇总,Payment Summary,付款汇总,Payment Summary
order.pending_settlement,order,待结算,Pending,待结算,Pending
order.pending_verification,order,待结算,Pending,待结算,Pending
order.product_share_to_free,order,拼团免单模式,Product Share-to-Free,拼团免单模式,Product Share-to-Free
order.qty_prefix,order,数量:,Qty:,数量:,Qty:
order.rebate_deactivated,order,未参与购物返现。,100% Rebate deactivated for this item.,未参与购物返现。,100% Rebate deactivated for this item.
order.rebate_phase_format,order,第 {current} / {total} 期,Phase {current} / {total},第 {current} / {total} 期,Phase {current} / {total}
order.rebate_radar,order,返现雷达,100% Rebate Radar,返现雷达,100% Rebate Radar
order.rule_1,order,Every 3 successful invitations = 1 item full refund.,Every 3 successful invitations = 1 item full refund.,Every 3 successful invitations = 1 item full refund.,Every 3 successful invitations = 1 item full refund.
order.rule_2,order,Refund is issued only after all 3 invitees have signed their orders and passed the 7-day return period.,Refund is issued only after all 3 invitees have signed their orders and passed the 7-day return period.,Refund is issued only after all 3 invitees have signed their orders and passed the 7-day return period.,Refund is issued only after all 3 invitees have signed their orders and passed the 7-day return period.
order.rule_3,order,Group Buy is mutually exclusive with 20-Phase Rebate.,Group Buy is mutually exclusive with 20-Phase Rebate.,Group Buy is mutually exclusive with 20-Phase Rebate.,Group Buy is mutually exclusive with 20-Phase Rebate.
order.rule_4,order,Any fraud or self-buying will lead to permanent ban.,Any fraud or self-buying will lead to permanent ban.,Any fraud or self-buying will lead to permanent ban.,Any fraud or self-buying will lead to permanent ban.
order.rules_safety,order,Rules & Safety,Rules & Safety,Rules & Safety,Rules & Safety
order.save,order,节省,Save,节省,Save
order.settled,order,已结算,Settled,已结算,Settled
order.settled_refunded,order,已退款,Refunded,已退款,Refunded
order.share_to_free_expired,order,拼团免单已过期,Share-to-Free EXPIRED,拼团免单已过期,Share-to-Free EXPIRED
order.shipped,order,运输中,In Transit,运输中,In Transit
order.shipping_address,order,收货地址,Shipping Address,收货地址,Shipping Address
order.shipping_cost,order,运费,Shipping,运费,Shipping
order.subtotal,order,商品小计,Subtotal,商品小计,Subtotal
order.tab_all,order,全部,All,全部,All
order.tab_group_buys,order,拼团免单,Group Buys,拼团免单,Group Buys
order.tab_rebates,order,签到返现,Active Rebates,签到返现,Active Rebates
order.to_pay,order,待付款,To Pay,待付款,To Pay
order.to_ship,order,待发货,To Ship,待发货,To Ship
order.total_amount,order,总金额,Total Amount,总金额,Total Amount
order.track_on_map,order,地图轨迹,Track on Map,地图轨迹,Track on Map
order.track_tooltip,order,点击查看物流详情,Track your order,点击查看物流详情,Track your order
order.verified,order,Verified,Verified,Verified,Verified
order.waiting_for_delivery,order,Waiting for Delivery,Waiting for Delivery,Waiting for Delivery,Waiting for Delivery
order.waiting_for_join,order,Waiting for join...,Waiting for join...,Waiting for join...,Waiting for join...
ordercenter.active,ordercenter,active,active,active,active
ordercenter.artisan_crafted_wireless_earbu,ordercenter,Artisan Crafted Wireless Earbuds,Artisan Crafted Wireless Earbuds,Artisan Crafted Wireless Earbuds,Artisan Crafted Wireless Earbuds
ordercenter.completed,ordercenter,completed,completed,completed,completed
ordercenter.delivered,ordercenter,delivered,delivered,delivered,delivered
ordercenter.forfeited,ordercenter,forfeited,forfeited,forfeited,forfeited
ordercenter.in_transit,ordercenter,in_transit,in_transit,in_transit,in_transit
ordercenter.minimalist_titanium_watch,ordercenter,Minimalist Titanium Watch,Minimalist Titanium Watch,Minimalist Titanium Watch,Minimalist Titanium Watch
ordercenter.out_for_delivery,ordercenter,Out for delivery,Out for delivery,Out for delivery,Out for delivery
ordercenter.premium_leather_messenger_bag,ordercenter,Premium Leather Messenger Bag,Premium Leather Messenger Bag,Premium Leather Messenger Bag,Premium Leather Messenger Bag
orderdetail.ai_butler,orderdetail,AI Butler,AI Butler,AI Butler,AI Butler
orderdetail.long_zhang,orderdetail,Long Zhang,Long Zhang,Long Zhang,Long Zhang
ordertracking.ms_lan,ordertracking,Ms. Lan,Ms. Lan,Ms. Lan,Ms. Lan
ordertracking.order_placed,ordertracking,Order placed,Order placed,Order placed,Order placed
ordertracking.package_is_waiting_for_pickup,ordertracking,Package is waiting for pickup,Package is waiting for pickup,Package is waiting for pickup,Package is waiting for pickup
ordertracking.plus_size_women,ordertracking,Plus size women'，,Plus size women'，,Plus size women'，,Plus size women'，
ordertracking.printing_completed,ordertracking,Printing completed,Printing completed,Printing completed,Printing completed
ordertracking.warehouse_order_received,ordertracking,Warehouse order received,Warehouse order received,Warehouse order received,Warehouse order received
ordertracking.your_package_left_jiangsu_nanj,ordertracking,Your package left [Jiangsu Nanjing Jiangning District Zhengfang New City] and has been sent to [Nanjing Transit Center],Your package left [Jiangsu Nanjing Jiangning District Zhengfang New City] and has been sent to [Nanjing Transit Center],Your package left [Jiangsu Nanjing Jiangning District Zhengfang New City] and has been sent to [Nanjing Transit Center],Your package left [Jiangsu Nanjing Jiangning District Zhengfang New City] and has been sent to [Nanjing Transit Center]
ordertracking.your_package_left_nanjing_tran,ordertracking,Your package left [Nanjing Transit Center] and has been sent to [Chengdu Transit Center]. Estimated to arrive in [Chengdu] on [April 10]. Due to the long distance， the status will be updated on the evening of [10th]. Please rest assured!,Your package left [Nanjing Transit Center] and has been sent to [Chengdu Transit Center]. Estimated to arrive in [Chengdu] on [April 10]. Due to the long distance， the status will be updated on the evening of [10th]. Please rest assured!,Your package left [Nanjing Transit Center] and has been sent to [Chengdu Transit Center]. Estimated to arrive in [Chengdu] on [April 10]. Due to the long distance， the status will be updated on the evening of [10th]. Please rest assured!,Your package left [Nanjing Transit Center] and has been sent to [Chengdu Transit Center]. Estimated to arrive in [Chengdu] on [April 10]. Due to the long distance， the status will be updated on the evening of [10th]. Please rest assured!
ordertracking.yt,ordertracking,YT,YT,YT,YT
ordertrackingdrawer.plus_size_women,ordertrackingdrawer,"Plus size women\`,""perk.ai_pts_desc"":","Plus size women\`,""perk.ai_pts_desc"":","Plus size women\`,""perk.ai_pts_desc"":","Plus size women\`,""perk.ai_pts_desc"":"
perk.go_top_up,perk,去充值,Go to recharge,去充值,Go to recharge
perk.kol_desc,perk,达人专属，解锁更高分销奖励比例。,"Exclusive to top performers, unlocking higher distribution reward rates.",达人专属，解锁更高分销奖励比例。,"Exclusive to top performers, unlocking higher distribution reward rates."
perk.renewal_desc,perk,断签可续，仅限当期使用 1 次。,"A missed permit can be renewed, but can only be used once within the current period.",断签可续，仅限当期使用 1 次。,"A missed permit can be renewed, but can only be used once within the current period."
personalinfo.avatar,personalinfo,Avatar,Avatar,Avatar,Avatar
pocket.camera,pocket,拍摄,screen,拍摄,screen
pocket.camera_desc,pocket,照片搜物,Photo search,照片搜物,Photo search
pocket.card,pocket,名片,Business card,名片,Business card
pocket.card_desc,pocket,邀请粉丝注册,Invite fans to register,邀请粉丝注册,Invite fans to register
pocket.favorites,pocket,收藏,keep,收藏,keep
pocket.favorites_desc,pocket,商品/商家/帖子,Product/Seller/Post,商品/商家/帖子,Product/Seller/Post
pocket.gift,pocket,礼物,Gift,礼物,Gift
pocket.gift_desc,pocket,分享分销商品,Distributed goods,分享分销商品,Distributed goods
pocket.homepage,pocket,个人主页,Homepage,个人主页,Homepage
pocket.photos,pocket,照片,photo,照片,photo
pocket.photos_desc,pocket,以图搜物,Searching for items using images,以图搜物,Searching for items using images
pocket.support,pocket,客服,Customer Service,客服,Customer Service
pocket.tickets,pocket,卡券,coupons,卡券,coupons
pocket.voice,pocket,语音输入,Voice input,语音输入,Voice input
pocket.voice_desc,pocket,语音搜物,Voice search,语音搜物,Voice search
points.balance_title,points,积分总余额,Total Points Balance,积分总余额,Total Points Balance
points.cat_ai_reward,points,AI 算力共享,AI Compute Reward,AI 算力共享,AI Compute Reward
points.cat_community,points,社区活跃奖励,Community Activity,社区活跃奖励,Community Activity
points.cat_exchange,points,积分兑换支出,Points Exchange,积分兑换支出,Points Exchange
points.cat_fan_shopping,points,粉丝购物积分奖励,Fan Shopping Reward,粉丝购物积分奖励,Fan Shopping Reward
points.cat_referral,points,分销积分奖励,Direct Referral Reward,分销积分奖励,Direct Referral Reward
points.cat_shopping,points,自购物积分奖励,Shopping Reward,自购物积分奖励,Shopping Reward
points.cat_signin,points,每日签到,Daily Check-in,每日签到,Daily Check-in
points.desc_ai_reward,points,调用自定义模型 {count} 次,Called custom model {count} times,调用自定义模型 {count} 次,Called custom model {count} times
points.desc_community,points,发表商品评价 & 评论,Posted product review & comment,发表商品评价 & 评论,Posted product review & comment
points.desc_exchange_card,points,兑换 1 张续签卡,Exchanged 1 Renewal Card,兑换 1 张续签卡,Exchanged 1 Renewal Card
points.desc_exchange_shipping,points,兑换 物流加速券,Exchanged Shipping Voucher,兑换 物流加速券,Exchanged Shipping Voucher
points.desc_fan_order,points,粉丝 @{name} 完成订单,Fan @{name} completed order,粉丝 @{name} 完成订单,Fan @{name} completed order
points.desc_referral,points,成功分享 机械腕表,Successfully shared Artisan Watch,成功分享 机械腕表,Successfully shared Artisan Watch
points.desc_shopping,points,完成订单 {orderId},Completed order {orderId},完成订单 {orderId},Completed order {orderId}
points.desc_signin,points,连续签到第 {day} 天奖励,Daily check-in day {day} reward,连续签到第 {day} 天奖励,Daily check-in day {day} reward
points.exchange_action,points,兑换,Exchange,兑换,Exchange
points.exchange_center,points,积分兑换中心,Points Exchange,积分兑换中心,Points Exchange
points.exchange_desc,points,积分可通过每日签到、分享商品、社区活跃等行为获取。积分不可转让或提现。,Points can be earned through daily check-in， sharing， and community activities. Points are non-transferable.,积分可通过每日签到、分享商品、社区活跃等行为获取。积分不可转让或提现。,Points can be earned through daily check-in， sharing， and community activities. Points are non-transferable.
points.recent_detail,points,近期明细,Recent History,近期明细,Recent History
points.tab_all,points,全部记录,All,全部记录,All
points.tab_earn,points,获取,Earn,获取,Earn
points.tab_spend,points,消耗,Spend,消耗,Spend
pointshistory.pts,pointshistory,PTS,PTS,PTS,PTS
prime.hand_poured_soy_wax_aromathera,prime,Hand-poured Soy Wax Aromatherapy Candle,Hand-poured Soy Wax Aromatherapy Candle,Hand-poured Soy Wax Aromatherapy Candle,Hand-poured Soy Wax Aromatherapy Candle
prime.search_verified_artisan_goods,prime,Search verified artisan goods...,Search verified artisan goods...,Search verified artisan goods...,Search verified artisan goods...
product.add_to_cart,product,加入购物车,Add to Cart,加入购物车,Add to Cart
product.add_to_wishlist,product,加入心愿单,Add to Wishlist,加入心愿单,Add to Wishlist
product.buy_now,product,立即购买,Buy Now,立即购买,Buy Now
product.campaign_rules,product,活动规则,Campaign Rules,活动规则,Campaign Rules
product.campaign_rules_title,product,活动规则,Campaign Rules,活动规则,Campaign Rules
product.community_demand_radar,product,社区需求雷达,Community Demand Radar,社区需求雷达,Community Demand Radar
product.crowdfunding_in_progress,product,众筹进行中,Crowdfunding in Progress,众筹进行中,Crowdfunding in Progress
product.current_participants,product,当前参与人数:,Current:,当前参与人数:,Current:
product.customization,product,定制选项,Customization,定制选项,Customization
product.customization_title,product,定制选项,Customization options,定制选项,Customization options
product.designers_note,product,设计师寄语,Designer'，,设计师寄语,Designer'，
product.discovery_mode,product,探索模式,Discovery Mode,探索模式,Discovery Mode
product.est_delivery,product,预计送达,Est. Delivery,预计送达,Est. Delivery
product.est_delivery_title,product,预计送达,Est. Delivery,预计送达,Est. Delivery
product.fast_delivery,product,发货极快,Fast delivery,发货极快,Fast delivery
product.full_back,product,100% 全额返,100% BACK,100% 全额返,100% BACK
product.goal_reached,product,已达成目标,Goal Reached,已达成目标,Goal Reached
product.in_wishlist,product,已加入心愿单,In Wishlist,已加入心愿单,In Wishlist
product.insight_design,product,见解与设计,The Insight & Design,见解与设计,The Insight & Design
product.item_quality,product,产品质量,Product Quality,产品质量,Product Quality
product.key_attributes,product,核心参数,Key Attributes,核心参数,Key Attributes
product.key_attributes_title,product,核心参数,Key Attributes,核心参数,Key Attributes
product.know_your_supplier,product,了解您的供应商,Know your supplier,了解您的供应商,Know your supplier
product.lock_in_phase,product,锁单阶段,Lock-in Phase,锁单阶段,Lock-in Phase
product.lock_in_phase_title,product,锁单阶段,Lock-in Phase,锁单阶段,Lock-in Phase
product.manufacturer,product,生产厂家,Manufacturer,生产厂家,Manufacturer
product.market_interest,product,市场关注度,Market Interest,市场关注度,Market Interest
product.market_rules,product,市场规则,Market Rules,市场规则,Market Rules
product.more_pictures,product,更多图片,More Pictures,更多图片,More Pictures
product.more_pictures_title,product,更多图片,More pictures,更多图片,More pictures
product.off_tag,product,折,OFF,折,OFF
product.on_time_shipment,product,发货时效,On-time shipment,发货时效,On-time shipment
product.participate_presale,product,参与预售,Participate Pre-order,参与预售,Participate Pre-order
product.phases_rewards,product,期签到奖励,Phases Rewards,期签到奖励,Phases Rewards
product.presale_in_progress,product,预售进行中,Pre-order in Progress,预售进行中,Pre-order in Progress
product.price_dropping,product,价格已下调:,Price Dropped:,价格已下调:,Price Dropped:
product.price_protection,product,价格保护,Price Protection,价格保护,Price Protection
product.price_protection_title,product,价格保护,Price Protection,价格保护,Price Protection
product.product_attributes,product,商品参数,Product Attributes,商品参数,Product Attributes
product.production_logistics,product,生产与物流,Production & Logistics,生产与物流,Production & Logistics
product.production_logistics_title,product,生产与物流,Production & Logistics,生产与物流,Production & Logistics
product.quantity,product,购买数量,Quantity,购买数量,Quantity
product.quantity_title,product,购买数量,Quantity,购买数量,Quantity
product.quick_service,product,服务快捷,Quick service,服务快捷,Quick service
product.rating_reviews,product,评分与评价,Ratings & Reviews,评分与评价,Ratings & Reviews
product.refund_note,product,* 锁单前可随时申请全额退款。锁单后差价将退回平台钱包。,* Refundable at any time before lock-in. Price differences will be credited to platform wallet.,* 锁单前可随时申请全额退款。锁单后差价将退回平台钱包。,* Refundable at any time before lock-in. Price differences will be credited to platform wallet.
product.refund_policy,product,退款政策,Refund Policy,退款政策,Refund Policy
product.refund_policy_title,product,退款政策,Refund Policy,退款政策,Refund Policy
product.reviews,product,用户评价,Reviews,用户评价,Reviews
product.reviews_count,product,({count} 条评价),({count} reviews),({count} 条评价),({count} reviews)
product.reviews_title,product,用户评价,Reviews,用户评价,Reviews
product.service_quality,product,服务质量,Service Quality,服务质量,Service Quality
product.shipment_speed,product,发货速度,Shipment Speed,发货速度,Shipment Speed
product.shipping,product,物流运费,Shipping,物流运费,Shipping
product.shipping_title,product,物流运费,Shipping,物流运费,Shipping
product.standard_delivery,product,标准物流,Standard Delivery,标准物流,Standard Delivery
product.store_reviews,product,店铺评价,Store reviews,店铺评价,Store reviews
product.supplier_info,product,商家详情,Supplier Info,商家详情,Supplier Info
product.supplier_service,product,商家服务,Supplier service,商家服务,Supplier service
product.support_crowdfunding,product,支持众筹,Support Crowdfunding,支持众筹,Support Crowdfunding
product.target_participants,product,目标人数:,Target:,目标人数:,Target:
product.time_remaining,product,剩余时间:,Time Left:,剩余时间:,Time Left:
product.trending,product,趋势,Trending,趋势,Trending
product.variations,product,规格选择,Variations,规格选择,Variations
product.variations_title,product,规格选择,Variations,规格选择,Variations
product.verified_concept,product,已验证概念,Verified Concept,已验证概念,Verified Concept
product.verified_supplier,product,已核实商家,Verified Supplier,已核实商家,Verified Supplier
productdetail.1h,productdetail,≤1h,≤1h,≤1h,≤1h
productdetail.50_orders,productdetail,50 orders,50 orders,50 orders,50 orders
productdetail.arctic_white,productdetail,Arctic White,Arctic White,Arctic White,Arctic White
productdetail.avg_response,productdetail,Avg. response,Avg. response,Avg. response,Avg. response
productdetail.bg_es_uk_mx_se_us,productdetail,BG ES UK MX SE US,BG ES UK MX SE US,BG ES UK MX SE US,BG ES UK MX SE US
productdetail.cyber_teal,productdetail,Cyber Teal,Cyber Teal,Cyber Teal,Cyber Teal
productdetail.featured,productdetail,Featured,Featured,Featured,Featured
productdetail.feb_2_2026,productdetail,Feb 2， 2026,Feb 2， 2026,Feb 2， 2026,Feb 2， 2026
productdetail.guangdong_cn,productdetail,Guangdong， CN 🇨🇳,Guangdong， CN 🇨🇳,Guangdong， CN 🇨🇳,Guangdong， CN 🇨🇳
productdetail.if_the_final_price_is_lower_th,productdetail,If the final price is lower than what you paid， the difference will be automatically refunded to your platform wallet upon locking.,If the final price is lower than what you paid， the difference will be automatically refunded to your platform wallet upon locking.,If the final price is lower than what you paid， the difference will be automatically refunded to your platform wallet upon locking.,If the final price is lower than what you paid， the difference will be automatically refunded to your platform wallet upon locking.
productdetail.natural_bamboo,productdetail,Natural Bamboo,Natural Bamboo,Natural Bamboo,Natural Bamboo
productdetail.obsidian_black,productdetail,Obsidian Black,Obsidian Black,Obsidian Black,Obsidian Black
productdetail.on_time_delivery,productdetail,On-time delivery,On-time delivery,On-time delivery,On-time delivery
productdetail.once_locked_the_order_goes_dir,productdetail,Once locked， the order goes directly to the artisan. Shipping typically starts 7-14 days after campaign ends.,Once locked， the order goes directly to the artisan. Shipping typically starts 7-14 days after campaign ends.,Once locked， the order goes directly to the artisan. Shipping typically starts 7-14 days after campaign ends.,Once locked， the order goes directly to the artisan. Shipping typically starts 7-14 days after campaign ends.
productdetail.ratings_reviews,productdetail,Ratings & reviews,Ratings & reviews,Ratings & reviews,Ratings & reviews
productdetail.reorder_rate,productdetail,Reorder rate,Reorder rate,Reorder rate,Reorder rate
productdetail.shenzhen_yokosi_photoelectric,productdetail,Shenzhen Yokosi Photoelectric Co.， Ltd.,Shenzhen Yokosi Photoelectric Co.， Ltd.,Shenzhen Yokosi Photoelectric Co.， Ltd.,Shenzhen Yokosi Photoelectric Co.， Ltd.
productdetail.us_51_000,productdetail,US $51，000+,US $51，000+,US $51，000+,US $51，000+
productdetail.we_need_to_reach_the_target_nu,productdetail,We need to reach the target number of participants to unlock this exclusive price. More people means lower prices for everyone!,We need to reach the target number of participants to unlock this exclusive price. More people means lower prices for everyone!,We need to reach the target number of participants to unlock this exclusive price. More people means lower prices for everyone!,We need to reach the target number of participants to unlock this exclusive price. More people means lower prices for everyone!
productdetail.you_can_request_a_full_refund,productdetail,You can request a full refund at any time before the campaign is locked. If the target is not met， 100% will be automatically refunded.,You can request a full refund at any time before the campaign is locked. If the target is not met， 100% will be automatically refunded.,You can request a full refund at any time before the campaign is locked. If the target is not met， 100% will be automatically refunded.,You can request a full refund at any time before the campaign is locked. If the target is not met， 100% will be automatically refunded.
productdetaildrawer.93_0,productdetaildrawer,93.0%,93.0%,93.0%,93.0%
productgridcard.hot,productgridcard,HOT,HOT,HOT,HOT
profile.add_friend,profile,加好友,Add Friend,加好友,Add Friend
profile.basic_info,profile,基础信息,Basic Info,基础信息,Basic Info
profile.change_avatar,profile,点击更换头像,Tap to change avatar,点击更换头像,Tap to change avatar
profile.fans,profile,粉丝,Fans,粉丝,Fans
profile.following,profile,关注,Following,关注,Following
profile.homepage,profile,TA的个人主页,Their Homepage,TA的个人主页,Their Homepage
profile.intro,profile,个人简介,About Me,个人简介,About Me
profile.join_date,profile,加入时间,Joined,加入时间,Joined
profile.moments,profile,动态,Moments,动态,Moments
profile.moments_title,profile,的动态,'，,的动态,'，
profile.nickname_placeholder,profile,请输入昵称,Enter nickname,请输入昵称,Enter nickname
profile.region,profile,地区,Region,地区,Region
profile.request_sent,profile,已申请,Requested,已申请,Requested
profile.send_message,profile,私信,Message,私信,Message
profile.title_suffix,profile,详情,Details,详情,Details
reviews.fast_delivery_time_and_after_s,reviews,Fast delivery time and after-sales service have given me great confidence and guarantee,Fast delivery time and after-sales service have given me great confidence and guarantee,Fast delivery time and after-sales service have given me great confidence and guarantee,Fast delivery time and after-sales service have given me great confidence and guarantee
reviews.i_recently_purchased_five_pair,reviews,I recently purchased five pairs of AI glasses—and they'，,I recently purchased five pairs of AI glasses—and they'，,I recently purchased five pairs of AI glasses—and they'，,I recently purchased five pairs of AI glasses—and they'，
reviews.product_quality,reviews,Product quality,Product quality,Product quality,Product quality
reviews.this_kbao_ai_pet_is_so_adorabl,reviews,This Kbao ai pet is so adorable! It is super cute and has AI so it now is my desk companion. The voice sounds amazing and her English is perfect. So happy with my cuddly little assistant.,This Kbao ai pet is so adorable! It is super cute and has AI so it now is my desk companion. The voice sounds amazing and her English is perfect. So happy with my cuddly little assistant.,This Kbao ai pet is so adorable! It is super cute and has AI so it now is my desk companion. The voice sounds amazing and her English is perfect. So happy with my cuddly little assistant.,This Kbao ai pet is so adorable! It is super cute and has AI so it now is my desk companion. The voice sounds amazing and her English is perfect. So happy with my cuddly little assistant.
reviewsdrawer.i_recently_purchased_five_pair,reviewsdrawer,"I recently purchased five pairs of AI glasses—and they\`,""reward.all_details"":","I recently purchased five pairs of AI glasses—and they\`,""reward.all_details"":","I recently purchased five pairs of AI glasses—and they\`,""reward.all_details"":","I recently purchased five pairs of AI glasses—and they\`,""reward.all_details"":"
reward.cashback,reward,里程碑返现,Milestone Rebate,里程碑返现,Milestone Rebate
reward.cat_cashback,reward,签到返现,Cashback,签到返现,Cashback
reward.cat_fan,reward,粉丝奖励,Fan Reward,粉丝奖励,Fan Reward
reward.cat_overflow,reward,溢出退款,Refund,溢出退款,Refund
reward.cat_payment,reward,余额支付,Payment,余额支付,Payment
reward.cat_referral,reward,分销奖励,Referral,分销奖励,Referral
reward.cat_refund,reward,订单退款,Refund,订单退款,Refund
reward.cat_withdraw,reward,提现,Withdraw,提现,Withdraw
reward.fan,reward,推广收益,Affiliate Earnings,推广收益,Affiliate Earnings
reward.fan_order,reward,来自粉丝 @{name} 的订单,Order from @{name},来自粉丝 @{name} 的订单,Order from @{name}
reward.milestone_rebate,reward,第 {phase} 期签到返现,Phase {phase} Rebate,第 {phase} 期签到返现,Phase {phase} Rebate
reward.order_met,reward,订单 {orderId} 达标,Order {orderId} Met,订单 {orderId} 达标,Order {orderId} Met
reward.overflow_desc,reward,项目 {id} 差价退回,C2W {id} Overflow Refund,项目 {id} 差价退回,C2W {id} Overflow Refund
reward.payment_desc,reward,支付订单 {orderId},Paid Order {orderId},支付订单 {orderId},Paid Order {orderId}
reward.recent_transactions,reward,最近交易明细,Recent Transactions,最近交易明细,Recent Transactions
reward.referral,reward,引荐奖励,Referral Rewards,引荐奖励,Referral Rewards
reward.referral_desc,reward,推荐购买 {product},Referral: {product},推荐购买 {product},Referral: {product}
reward.refund_desc,reward,订单 {orderId} 退货退款,Refund Order {orderId},订单 {orderId} 退货退款,Refund Order {orderId}
reward.status_available,reward,可提现,Available,可提现,Available
reward.status_completed,reward,已完成,Completed,已完成,Completed
reward.status_processing,reward,处理中,Processing,处理中,Processing
reward.total_lifetime,reward,累计总收益,Total Lifetime Earnings,累计总收益,Total Lifetime Earnings
reward.withdraw_desc,reward,手续费 {fee},Fee {fee},手续费 {fee},Fee {fee}
rules.admin_managed,rules,由管理员审核通过后手动设置,Manually assigned by administrator,由管理员审核通过后手动设置,Manually assigned by administrator
rules.bronze_desc,rules,新注册用户的初始等级。,Standard tier for new users.,新注册用户的初始等级。,Standard tier for new users.
rules.bronze_req,rules,新用户默认,Default for new users,新用户默认,Default for new users
rules.current_status,rules,当前等级,Current Tier,当前等级,Current Tier
rules.gold_desc,rules,核心社区贡献者。,Core community contributors.,核心社区贡献者。,Core community contributors.
rules.gold_req,rules,订单金额>$5000 或 10位粉丝,Order amount >$5000 OR 10 Fans,订单金额>$5000 或 10位粉丝,Order amount >$5000 OR 10 Fans
rules.influencer_desc,rules,"""入住 0buck 让你的粉丝疯狂变现，我们提供优厚的分销比例（从 3%-20%）""","""Influencers are platform partners. Reward ratios are negotiated based on traffic and performance.""","""入住 0buck 让你的粉丝疯狂变现，我们提供优厚的分销比例（从 3%-20%）""","""Influencers are platform partners. Reward ratios are negotiated based on traffic and performance."""
rules.main_desc,rules,"""您的奖励比例由当前会员等级决定。达人（Influencer）奖励比例根据双方协商制定。""","""Your reward ratio is determined by your current membership tier. Influencer reward ratios are negotiated based on platform consultation.""","""您的奖励比例由当前会员等级决定。达人（Influencer）奖励比例根据双方协商制定。""","""Your reward ratio is determined by your current membership tier. Influencer reward ratios are negotiated based on platform consultation."""
rules.negotiated_rate,rules,专属协议比例,Negotiated Rate,专属协议比例,Negotiated Rate
rules.platinum_desc,rules,顶级合作伙伴，享受最高普通奖励。,Top tier partners with maximum rewards.,顶级合作伙伴，享受最高普通奖励。,Top tier partners with maximum rewards.
rules.platinum_req,rules,订单金额>$10000 或 50位粉丝,Order amount >$10000 OR 50 Fans,订单金额>$10000 或 50位粉丝,Order amount >$10000 OR 50 Fans
rules.settlement_period,rules,订单有效完成后,7 days after order completion,订单有效完成后,7 days after order completion
rules.silver_desc,rules,活跃用户，有一定的推荐记录。,Active users with referral history.,活跃用户，有一定的推荐记录。,Active users with referral history.
rules.silver_req,rules,订单金额>$500 或 3位粉丝,Order amount >$500 OR 3 Fans,订单金额>$500 或 3位粉丝,Order amount >$500 OR 3 Fans
rules.subtitle,rules,奖励与结算指南,Tier & Reward Guide,奖励与结算指南,Tier & Reward Guide
rules.title,rules,会员等级规则,Membership Rules,会员等级规则,Membership Rules
rules.upgrade_desc,rules,达到以下任一条件即可自动升级，解锁更高奖励比例。,Reach any of the following milestones to automatically upgrade and unlock higher rewards.,达到以下任一条件即可自动升级，解锁更高奖励比例。,Reach any of the following milestones to automatically upgrade and unlock higher rewards.
rules.upgrade_title,rules,晋升要求,How to Upgrade,晋升要求,How to Upgrade
security.2fa,security,谷歌二次验证 (2FA),Google 2FA,谷歌二次验证 (2FA),Google 2FA
security.2fa_desc,security,登录、提现需输入动态口令,Dynamic code required for login and large withdrawals,登录、提现需输入动态口令,Dynamic code required for login and large withdrawals
security.backup_email_binding,security,备选邮箱绑定,Backup Email Binding,备选邮箱绑定,Backup Email Binding
security.backup_email_desc,security,用于找回账号与安全验证,For account recovery and security verification,用于找回账号与安全验证,For account recovery and security verification
security.basic_security,security,基础安全,Basic Security,基础安全,Basic Security
security.binding_verification,security,绑定与验证,Binding & Verification,绑定与验证,Binding & Verification
security.bound,security,已绑定,Bound,已绑定,Bound
security.change_login_password,security,修改登录密码,Change Login Password,修改登录密码,Change Login Password
security.change_pay_password,security,修改支付密码,Change Pay Password,修改支付密码,Change Pay Password
security.confirm_password_placeholder,security,请再次输入新密码,Please re-enter new password,请再次输入新密码,Please re-enter new password
security.email_bind_current_verify,security,验证当前安全性,Security Verification,验证当前安全性,Security Verification
security.email_bind_new_input,security,输入新邮箱地址,Enter New Email,输入新邮箱地址,Enter New Email
security.email_bind_new_title,security,改绑邮箱,Change Email,改绑邮箱,Change Email
security.email_bind_new_verify,security,验证新邮箱,Verify New Email,验证新邮箱,Verify New Email
security.email_bind_success,security,邮箱改绑成功,Email changed successfully,邮箱改绑成功,Email changed successfully
security.email_binding,security,邮箱绑定,Email Binding,邮箱绑定,Email Binding
security.facebook,security,Facebook,Facebook,Facebook,Facebook
security.github,security,GitHub,GitHub,GitHub,GitHub
security.go_bind,security,去绑定,Bind,去绑定,Bind
security.google_2fa_bind_desc,security,请使用 Google Authenticator 扫描下方二维码或手动输入密钥,Please use Google Authenticator to scan the QR code or enter the secret manually,请使用 Google Authenticator 扫描下方二维码或手动输入密钥,Please use Google Authenticator to scan the QR code or enter the secret manually
security.google_2fa_change_btn,security,修改密钥,Change Secret,修改密钥,Change Secret
security.google_2fa_copy_secret,security,复制密钥,Copy Secret,复制密钥,Copy Secret
security.google_2fa_disable_btn,security,解绑 2FA,Disable 2FA,解绑 2FA,Disable 2FA
security.google_2fa_enable_btn,security,确认开启,Enable 2FA,确认开启,Enable 2FA
security.google_2fa_qr_tip,security,无法扫描？点击复制密钥,Cannot scan? Click to copy secret,无法扫描？点击复制密钥,Cannot scan? Click to copy secret
security.google_2fa_status_disabled,security,未启用,Disabled,未启用,Disabled
security.google_2fa_status_enabled,security,已启用,Enabled,已启用,Enabled
